country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
North Macedonia,,,,,,,,,,,,,,,,,,,,99.1,,,,,,,,99,,,,,,,,,98.8
Mali,,26.7,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,47.4,,,,56.4,56
Malta,,,,,,,,,,,97.4,,,,,,,,,,94.4,,,,,,,,,,97.5,,,,,,
Myanmar,,,,,,,,,88.6,,,,,,,,,,,,,,,,,95.8,,,,,,,,,,,96.3
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,94.1
Mozambique,,,,,,64,,,,,,,,,,,,,,,,,59.5,,,,,,74.4,,,,,,79.8,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,67.7,,,,,,,,,,,71.6
Mauritius,,,,,,,,,,,,,,,,90.7,,,,,,,,,,93.7,,,,,,,,,,,95.8
Malawi,,,,,,,,,,,,,70.4,,,,,,,,,,,82.1,,,,,,,,,,,,74.3,
Malaysia,,,,,,89.5,,,,,,,,,,,95.9,,,,,,,,,97.2,,,,,,,,,,98.4,
Namibia,,,,,,,,,,,,,,,,,85.7,,,,,,,,,,91.2,,,,,,83.2,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,52.5,,,,,,
Nigeria,,,,,,,,,,,,,,,,,81.4,,,,,,,,,,,,78.1,,,,,75.6,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6,,,,85.2,,,,,,
Nepal,,,,,,,45.1,,,,,,,,,,68.2,,,,,,,,,,80.6,,,,,,,,,,89.2
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9,,,,,97.6,,97.4,
Pakistan,,,,,,,44.5,,,,,,,,,,,,,,,,,67.2,,,,,,,76.7,79.1,,79.4,79.1,,
Panama,,,,,,95.9,,,,,,,,,,95.4,,,,,,,,,,96.5,,,,,,,,,,97.9,
Peru,,,,,,,96.5,,,,,,,,,,,,97,,,,,,,,,,,97.8,97.9,98.5,98,,,,
Philippines,,,,,,91.1,,,,,,,,,,96.3,,,,,,,,,,94.5,,,93.6,,,,,97,,,
Palau,,,,,,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,,,,,,,,,,,67
Poland,,,,99.8,,,,,,,,,,,,,,,,100,,,,,,,,,,100,,,,,,,100
Puerto Rico,,,,,,93,,,,,,,,,,92.2,,,,,,,,,,,,,,88.1,,,,,,,86.1
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
Portugal,,,,,,,97.7,,,,,,,,,,99.1,,,,,,,,,,,,,,,,,,,,99.7
Paraguay,,,,,,,,90.2,,,,,,,,,,95.9,,,,,,,,,,,,,,,98.8,97.7,98,98.5,
Palestine,,,,,,,,,,,,,,,,,,,,,,,96.9,,,,,,,99,,99,99.1,99.3,99.2,99.2,99.3
Qatar,,,,,,,,,,,,88.5,,,,,,,,,,,94.1,,,,,,,94.9,,,99.1,95.3,97.7,96.3,
Romania,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,97.7,,,,,,,,,97
Russia,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,99.7,,,,,,,,99.7,
Rwanda,,,,59.7,,,,,,,,,,,,,,,,,,,,,,78.5,,,,,,,,,,76.7,
Saudi Arabia,,,,,,,,,,,,,,,,,,94,,,,,,,,98.1,,,,97,,,,,,,99
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,85.7,,,,,,,,,,,90
Senegal,,,,,,,,,,,,,,49.1,,,,,,,,,,,,,,58.5,,,,58.1,,,74.2,,
Singapore,,,,,,96.4,,,,,,,,,,98.9,,,,,,,,,,99.4,,,,,,,,,,99.7,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6,,,,,,,70.5
El Salvador,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,86.9,,94.4,93.2,95.4,94.7,95.7,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3
Sao Tome and Principe,,,,,,,90.8,,,,,,,,,,95.8,,,,,,,,,,96,,,,,,,83.1,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,,,,99.4,,98,
Slovenia,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,,,99.8,,,,,,,99.8
Eswatini,,76.1,,,,,,,,,,83.1,,,,,,,,,,,,,,90.7,,,,,,,,,,,92.2
Seychelles,,,,,,,,,,,,,96.8,,,,,,,98.5,,,,,,,,98.8,,,,,,,,,98.8
Syria,,,,,,,88.8,,,,,,,,,,,,,,,,,,,,,97.1,,94.6,,,,,,,96.4
Chad,,,,,,,,,,,,,,,,,,,26.3,,,,,,,55.7,,,,53.7,,,,,,,53.6
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,,,,,,84.9,,,87.6,,86.9
Thailand,,,,,,97.6,,,,,,,,,,,,,,,,,,,,98.1,,,,,98.2,,,,,,
Tajikistan,,,,,,,,,,,,,,,99.7,,,,,,,,,,,99.8,,,,,,,,,,,99.9
Turkmenistan,,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,,,,,,,99.8
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,
Tonga,,99.8,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,99.3,,,,,
Trinidad and Tobago,,,,,,99.2,,,,,,,,,,99.3,,,,,,,,,,,,,,99.5,,,,,,,99.6
